,Unnamed: 0,x1,x2,x3,x4,x5
27260,27260,0.0,0.25,1,0,1
9637,9637,0.0,0.5,1,1,0
11462,11462,0.0,1.0,0,1,0
18534,18534,1.0,0.25,0,0,0
16782,16782,0.5,1.0,0,1,0
8380,8380,1.0,0.5,1,0,0
16519,16519,0.5,0.25,0,0,0
24487,24487,0.0,0.25,0,0,0
27265,27265,1.0,0.75,1,1,1
9047,9047,0.0,0.25,0,0,0
7667,7667,1.0,0.75,0,0,1
24697,24697,0.5,0.75,1,0,0
23829,23829,0.0,0.5,1,0,0
840,840,0.0,0.25,1,0,1
20913,20913,0.0,0.5,1,0,1
8165,8165,1.0,0.0,0,0,1
9193,9193,0.5,0.75,1,0,0
24792,24792,1.0,0.0,1,0,1
444,444,1.0,0.25,1,0,1
29495,29495,0.0,0.0,1,0,0
10849,10849,0.5,1.0,0,0,1
9821,9821,0.0,0.75,1,0,0
25634,25634,0.0,0.75,0,0,0
106,106,0.5,1.0,1,0,0
9029,9029,1.0,0.0,0,1,0
25593,25593,0.0,1.0,1,0,0
20894,20894,0.5,0.25,1,1,0
29476,29476,1.0,0.5,1,1,0
25811,25811,0.0,0.75,0,1,1
15262,15262,0.0,0.25,0,0,1
19381,19381,0.5,1.0,1,0,1
15525,15525,0.5,1.0,0,0,1
16944,16944,0.5,0.25,1,1,1
17891,17891,1.0,0.25,1,1,1
2651,2651,0.5,0.0,1,1,1
4192,4192,1.0,0.75,1,0,0
7556,7556,1.0,0.75,0,0,1
13721,13721,0.0,0.75,1,1,1
15689,15689,1.0,0.0,1,1,0
3397,3397,1.0,0.75,1,1,1
7149,7149,1.0,0.75,1,1,1
4645,4645,0.5,1.0,0,0,0
19187,19187,0.5,0.75,1,0,0
19766,19766,0.5,0.75,0,0,1
24906,24906,0.5,0.25,1,0,0
20746,20746,1.0,1.0,1,1,0
20424,20424,1.0,0.25,1,0,1
23711,23711,0.5,0.25,0,1,1
29329,29329,0.0,0.75,1,0,0
20169,20169,0.0,0.25,0,0,1
26955,26955,0.0,0.5,0,1,0
10006,10006,0.0,0.75,0,1,1
11962,11962,0.5,1.0,0,1,1
20310,20310,0.5,0.25,1,0,1
8274,8274,0.0,1.0,1,1,1
14159,14159,1.0,0.0,0,0,0
29873,29873,0.0,0.5,1,0,0
11397,11397,1.0,0.25,1,1,0
5073,5073,0.5,0.25,1,1,0
1704,1704,1.0,0.25,1,1,0
24157,24157,0.5,1.0,1,0,1
13372,13372,1.0,0.75,0,1,1
13087,13087,1.0,0.25,1,0,0
5576,5576,0.5,0.25,1,1,1
22849,22849,0.0,0.25,0,0,0
24975,24975,0.0,1.0,0,1,1
25444,25444,0.5,0.25,0,1,1
4895,4895,1.0,0.75,1,1,0
10916,10916,0.5,0.5,0,0,0
18825,18825,1.0,0.0,0,0,0
11879,11879,0.5,0.0,1,0,0
10419,10419,0.0,0.0,0,0,1
26972,26972,0.5,0.75,0,1,1
21828,21828,0.0,0.25,0,0,0
26759,26759,0.0,1.0,1,0,0
20372,20372,0.5,0.5,1,1,0
28299,28299,1.0,0.25,0,0,0
19637,19637,0.0,0.75,1,1,0
2752,2752,0.0,0.75,1,1,0
4598,4598,0.0,0.0,0,0,1
24587,24587,0.0,0.0,1,0,1
3227,3227,0.0,1.0,1,0,0
5539,5539,1.0,1.0,0,1,1
23940,23940,0.0,0.75,1,1,1
10466,10466,0.0,0.75,1,0,0
5086,5086,1.0,0.25,1,0,1
1017,1017,0.0,1.0,1,1,0
28666,28666,0.5,0.0,0,1,0
7008,7008,1.0,0.25,0,1,0
5045,5045,0.0,0.0,1,1,1
3100,3100,0.0,0.0,0,0,0
28485,28485,1.0,1.0,0,0,0
25253,25253,1.0,0.25,1,1,1
11204,11204,0.5,1.0,1,0,0
2770,2770,0.0,0.0,0,0,0
2475,2475,1.0,1.0,0,0,0
14966,14966,0.0,0.25,0,0,1
26378,26378,0.0,0.75,0,1,1
14659,14659,1.0,0.0,0,0,0
29720,29720,1.0,0.5,0,1,0
13927,13927,1.0,0.0,0,0,1
12358,12358,1.0,0.25,0,0,0
11413,11413,0.5,0.5,1,0,1
16337,16337,1.0,0.75,0,0,0
559,559,1.0,0.5,0,1,0
22292,22292,0.0,0.25,0,1,1
11384,11384,1.0,1.0,0,1,1
23807,23807,0.0,0.0,0,1,0
5472,5472,0.5,0.25,1,1,1
11881,11881,0.0,0.5,1,1,1
6235,6235,0.5,0.25,1,1,1
12757,12757,0.0,0.0,1,1,1
11302,11302,0.5,0.0,1,1,1
11174,11174,0.0,0.0,0,1,0
28254,28254,0.5,1.0,0,0,0
12805,12805,0.0,1.0,0,1,1
21895,21895,0.0,0.75,0,1,1
29614,29614,0.5,0.5,1,1,1
8093,8093,0.0,0.5,1,0,0
8505,8505,0.5,1.0,0,0,0
14500,14500,1.0,1.0,1,1,1
872,872,0.5,0.75,1,0,1
12957,12957,0.0,0.25,1,1,1
22047,22047,1.0,0.0,0,0,1
18505,18505,0.5,0.0,1,1,1
10239,10239,1.0,0.75,1,0,1
28496,28496,1.0,0.0,1,0,1
4537,4537,0.0,1.0,1,1,1
12712,12712,1.0,0.75,1,0,0
4197,4197,0.0,1.0,0,0,1
153,153,1.0,0.75,0,1,0
23338,23338,0.5,0.5,1,1,1
5252,5252,0.0,0.25,0,1,0
26026,26026,1.0,0.0,0,1,0
11845,11845,0.0,0.0,0,0,1
866,866,0.5,0.5,0,1,0
386,386,0.0,1.0,0,0,0
18761,18761,1.0,0.0,0,0,0
26905,26905,0.0,0.25,1,1,0
3394,3394,0.5,0.5,1,1,0
4504,4504,0.0,0.0,1,0,1
20392,20392,1.0,0.75,0,0,1
21297,21297,1.0,0.75,0,1,0
17582,17582,1.0,0.5,0,0,0
18025,18025,0.0,0.0,0,1,1
18659,18659,0.0,0.5,1,1,1
18558,18558,0.5,1.0,0,1,0
23413,23413,0.5,0.5,1,1,1
29835,29835,0.5,0.75,1,1,0
14325,14325,0.5,0.5,1,0,1
23148,23148,0.5,0.5,0,0,0
921,921,1.0,0.25,1,1,0
13894,13894,1.0,0.5,0,0,0
8598,8598,1.0,0.75,1,1,0
240,240,0.5,0.75,1,0,1
17756,17756,0.5,0.25,1,0,1
27034,27034,1.0,0.25,1,0,1
12511,12511,0.0,0.25,1,0,0
8767,8767,0.5,1.0,0,1,0
6848,6848,1.0,0.25,1,0,1
20299,20299,0.0,0.75,0,1,0
15805,15805,1.0,0.5,0,0,1
26565,26565,1.0,0.0,0,0,0
1050,1050,0.0,0.0,0,1,1
21163,21163,0.5,0.5,1,1,1
15601,15601,1.0,0.0,0,0,0
10859,10859,1.0,0.25,0,1,0
14779,14779,0.5,0.0,0,1,0
19292,19292,0.0,0.5,0,0,0
1281,1281,0.5,1.0,1,1,0
12222,12222,0.0,0.0,1,1,0
3950,3950,0.5,0.0,1,0,0
12702,12702,0.5,0.5,1,1,1
9254,9254,1.0,0.0,1,1,1
28161,28161,0.5,0.75,1,1,0
1758,1758,1.0,0.75,1,0,1
6378,6378,1.0,1.0,0,0,0
11475,11475,1.0,0.25,0,1,0
2131,2131,1.0,0.5,0,1,1
13455,13455,0.0,0.75,0,0,0
2401,2401,0.5,1.0,1,1,0
5520,5520,0.0,0.25,0,1,1
19224,19224,0.0,0.0,1,1,0
25255,25255,0.5,0.75,0,0,0
8307,8307,0.0,0.0,0,0,0
7928,7928,0.0,0.5,0,1,1
15134,15134,0.0,0.5,1,0,1
12961,12961,0.0,1.0,0,0,1
8264,8264,1.0,0.25,1,1,0
1798,1798,1.0,1.0,0,1,0
27065,27065,1.0,0.0,0,1,1
26964,26964,1.0,0.25,1,1,1
15906,15906,0.0,1.0,1,1,0
20079,20079,0.0,0.5,1,1,0
26118,26118,0.0,0.25,1,0,0
27311,27311,0.5,0.0,0,0,0
15854,15854,0.5,0.5,1,0,0
27838,27838,0.0,0.75,1,0,0
6988,6988,0.5,1.0,1,1,0
16098,16098,1.0,0.0,0,1,1
17343,17343,1.0,0.0,1,1,1
23344,23344,0.5,1.0,0,0,1
23266,23266,0.0,0.25,0,1,1
2966,2966,0.0,0.5,0,1,0
19767,19767,0.0,0.75,1,0,1
13202,13202,0.5,0.0,0,1,0
18015,18015,0.5,0.0,1,1,0
3042,3042,0.5,0.5,0,1,0
17702,17702,0.0,0.25,1,1,1
17859,17859,0.5,0.0,0,0,1
20191,20191,0.5,0.0,1,0,0
23750,23750,0.0,0.75,1,0,0
2946,2946,0.0,1.0,0,0,0
23239,23239,1.0,0.25,1,0,1
15033,15033,1.0,0.75,1,0,0
15466,15466,0.0,0.75,1,1,1
8520,8520,1.0,0.75,0,0,1
29318,29318,0.0,0.0,1,0,0
15142,15142,0.5,0.75,1,1,1
28100,28100,0.0,1.0,1,1,1
10376,10376,0.5,0.5,0,0,0
9297,9297,0.5,0.75,1,1,0
5444,5444,0.0,0.25,1,1,1
24843,24843,0.5,1.0,0,0,1
17832,17832,1.0,0.25,1,0,0
11653,11653,0.0,1.0,1,0,1
8212,8212,1.0,0.5,1,1,0
13660,13660,0.0,0.75,0,1,1
20162,20162,0.5,1.0,0,1,0
6148,6148,0.5,0.75,0,1,1
15739,15739,1.0,0.25,1,1,1
6755,6755,1.0,1.0,0,1,0
24422,24422,0.0,0.25,1,0,1
14131,14131,1.0,0.75,0,1,1
26018,26018,0.5,0.25,1,0,1
10985,10985,0.5,0.0,1,0,1
12329,12329,0.0,1.0,1,1,1
22558,22558,0.5,0.25,1,0,1
16992,16992,0.5,0.75,0,0,1
27659,27659,1.0,0.5,0,0,0
15171,15171,0.0,0.5,0,0,1
25371,25371,0.5,0.5,1,1,0
19418,19418,0.5,0.25,1,1,0
27752,27752,1.0,0.25,1,0,1
20595,20595,1.0,1.0,1,1,1
26715,26715,0.5,0.75,0,0,1
12317,12317,0.0,1.0,1,0,0
3075,3075,0.0,0.5,0,1,0
10579,10579,0.5,0.0,0,1,1
6008,6008,1.0,0.25,0,1,1
25861,25861,1.0,0.25,1,0,1
26809,26809,0.0,0.25,1,0,0
5463,5463,0.5,0.5,1,1,1
17390,17390,0.0,0.75,0,1,0
16106,16106,0.0,0.5,1,0,1
26958,26958,0.0,0.25,0,0,0
25270,25270,0.0,0.75,0,1,1
18912,18912,0.5,1.0,0,1,0
2278,2278,0.0,0.0,1,1,1
8367,8367,0.5,0.0,1,0,1
9343,9343,0.5,0.75,0,1,0
14352,14352,0.5,0.0,0,1,1
12967,12967,1.0,0.25,0,1,1
26942,26942,0.0,0.0,1,0,1
6850,6850,0.0,0.0,1,1,0
25407,25407,1.0,1.0,0,1,1
811,811,0.5,1.0,1,0,0
11590,11590,1.0,1.0,1,0,0
28238,28238,0.5,0.5,1,1,1
392,392,0.5,0.75,0,1,0
2901,2901,1.0,0.0,1,0,1
2473,2473,0.0,0.25,0,1,0
2366,2366,0.0,0.0,0,1,0
11981,11981,1.0,0.75,0,0,0
14430,14430,0.0,0.75,1,1,1
1342,1342,0.0,0.25,0,0,0
12523,12523,0.5,0.75,0,1,1
24628,24628,0.0,0.0,0,1,1
8779,8779,1.0,0.0,1,0,0
16160,16160,1.0,0.25,0,0,0
3975,3975,1.0,1.0,1,0,0
15535,15535,0.5,0.5,1,1,1
26588,26588,0.5,0.75,1,0,1
11734,11734,0.0,0.75,0,1,1
23977,23977,0.5,1.0,0,0,1
3887,3887,0.0,0.75,1,0,1
9916,9916,0.5,0.25,0,1,0
11411,11411,0.0,1.0,0,0,0
20801,20801,0.5,0.5,0,1,0
21888,21888,1.0,0.75,0,1,1
7593,7593,0.0,0.0,1,1,1
13774,13774,0.5,0.5,0,0,1
4838,4838,0.5,1.0,1,1,1
22900,22900,0.0,0.75,1,1,1
21631,21631,1.0,0.25,0,1,1
3561,3561,0.0,0.0,0,0,1
79,79,0.0,0.5,0,0,1
12898,12898,0.0,0.75,1,1,0
1544,1544,0.0,0.75,0,0,1
4322,4322,0.5,0.25,1,1,0
19643,19643,1.0,0.0,0,0,1
26361,26361,0.0,0.25,1,0,1
15112,15112,1.0,0.75,0,1,0
14835,14835,0.5,0.5,0,0,1
24160,24160,0.5,0.0,0,1,0
14025,14025,0.5,0.0,0,0,1
17796,17796,0.5,0.5,0,0,0
14905,14905,0.5,0.25,1,1,0
7170,7170,1.0,1.0,0,0,0
3639,3639,1.0,0.75,1,1,0
19210,19210,1.0,0.25,1,1,0
18699,18699,0.0,0.75,1,1,0
12833,12833,1.0,0.75,0,1,1
3102,3102,0.5,1.0,1,1,1
15971,15971,0.5,1.0,0,1,1
28839,28839,1.0,0.0,1,1,1
10754,10754,0.0,0.0,1,0,1
16348,16348,1.0,0.75,0,0,1
11366,11366,0.5,0.5,0,0,0
29406,29406,1.0,0.0,1,1,1
11501,11501,1.0,0.5,1,1,1
19495,19495,0.0,0.0,1,1,0
11120,11120,0.0,0.0,1,0,0
6987,6987,1.0,0.0,1,0,1
2919,2919,0.5,0.75,0,1,0
20100,20100,0.0,0.25,1,0,1
27164,27164,0.5,0.0,0,1,1
3723,3723,1.0,0.75,1,0,1
15951,15951,0.0,0.25,1,0,1
12571,12571,0.5,0.25,0,0,1
24724,24724,1.0,0.5,1,0,0
27855,27855,0.0,0.0,0,0,0
20321,20321,1.0,0.5,0,1,0
18615,18615,1.0,0.0,0,0,0
19928,19928,0.0,0.25,0,0,1
23306,23306,1.0,1.0,0,1,1
10236,10236,0.0,0.5,1,1,1
18762,18762,0.5,0.5,0,1,0
14209,14209,0.0,0.0,1,0,0
11005,11005,0.5,0.0,1,0,1
1013,1013,0.0,0.25,1,1,1
19287,19287,1.0,0.75,0,0,1
16951,16951,0.5,0.75,1,1,0
14599,14599,1.0,1.0,1,0,1
27751,27751,0.5,0.5,0,1,1
27365,27365,0.0,0.5,0,0,1
8333,8333,0.0,0.75,0,0,1
6760,6760,0.5,0.25,1,1,0
13410,13410,1.0,1.0,1,1,1
12331,12331,0.5,0.75,1,0,0
3692,3692,0.5,0.25,1,1,1
10996,10996,1.0,1.0,1,0,0
6722,6722,0.5,0.5,0,1,1
13382,13382,0.5,0.5,0,1,0
949,949,0.0,0.75,0,0,1
11482,11482,0.0,0.0,1,1,1
2918,2918,1.0,0.5,0,1,1
9924,9924,0.5,0.5,1,1,0
9998,9998,0.0,1.0,0,1,0
20348,20348,1.0,0.5,0,1,0
5825,5825,0.5,1.0,1,0,1
14787,14787,0.0,0.0,0,1,1
4139,4139,0.5,1.0,1,1,1
1891,1891,0.0,0.5,0,0,1
18243,18243,0.5,0.25,0,0,1
10796,10796,0.5,0.25,1,0,1
26924,26924,0.0,0.5,1,0,0
6157,6157,0.5,0.0,0,0,0
12524,12524,1.0,1.0,0,0,1
1409,1409,0.0,0.75,1,1,1
5752,5752,0.0,0.0,1,1,1
10797,10797,0.0,0.5,1,1,0
5071,5071,0.0,1.0,1,1,1
21536,21536,0.0,0.75,1,1,1
19412,19412,0.0,0.0,0,0,1
2112,2112,1.0,0.0,1,1,1
12210,12210,0.5,0.75,1,1,1
6934,6934,1.0,1.0,1,0,1
820,820,0.5,0.25,1,0,1
3011,3011,0.5,0.5,1,0,0
17251,17251,0.0,0.75,1,0,1
4355,4355,0.5,1.0,1,0,1
22454,22454,0.0,0.0,0,1,0
20821,20821,0.0,0.25,1,0,1
17654,17654,1.0,1.0,0,1,1
20472,20472,0.5,0.25,0,1,1
13636,13636,0.5,0.25,0,1,1
24434,24434,0.5,0.25,1,0,1
6137,6137,0.0,0.5,1,1,0
13367,13367,1.0,0.0,1,0,1
16920,16920,0.0,0.75,1,0,0
6068,6068,1.0,0.25,0,0,0
26822,26822,0.0,1.0,1,0,1
16725,16725,0.5,0.0,1,0,1
810,810,0.0,1.0,1,1,0
687,687,1.0,0.5,1,0,1
203,203,0.5,0.0,1,1,0
5338,5338,1.0,0.5,0,0,0
25197,25197,0.0,0.5,1,0,1
11460,11460,1.0,0.0,1,0,0
23897,23897,1.0,0.0,1,0,0
8227,8227,0.5,1.0,1,0,1
986,986,0.5,1.0,1,1,0
23659,23659,0.5,0.5,0,1,0
13481,13481,0.5,0.25,0,0,0
3682,3682,0.0,0.0,0,1,1
4207,4207,0.0,0.75,1,1,0
23348,23348,1.0,0.0,1,0,0
415,415,0.0,0.25,1,1,0
17699,17699,0.5,0.75,0,1,0
3833,3833,0.5,0.0,1,1,0
21970,21970,0.0,0.5,0,1,1
3276,3276,1.0,0.75,0,0,1
11494,11494,0.5,0.25,0,1,0
21139,21139,1.0,0.75,1,0,1
16016,16016,0.5,0.75,1,0,0
13586,13586,1.0,0.75,1,0,0
18545,18545,1.0,1.0,1,1,0
23366,23366,1.0,0.0,1,0,1
17953,17953,0.5,1.0,1,1,0
11951,11951,1.0,0.25,1,0,0
24198,24198,0.5,1.0,0,0,0
14461,14461,1.0,0.25,0,1,0
28576,28576,0.0,0.5,1,1,0
17151,17151,1.0,0.5,0,0,0
23465,23465,0.0,0.5,0,0,0
19700,19700,1.0,0.0,0,0,0
7390,7390,0.0,0.75,0,0,1
3917,3917,1.0,0.5,0,1,1
13392,13392,0.0,0.25,0,1,0
24324,24324,0.0,0.5,1,1,1
4106,4106,0.0,1.0,0,0,1
26327,26327,0.0,0.0,0,1,1
1523,1523,0.5,0.25,0,1,1
24068,24068,0.5,1.0,1,0,0
26877,26877,0.0,0.75,0,0,1
3427,3427,1.0,0.25,0,1,1
15245,15245,0.0,0.0,1,0,1
7533,7533,0.0,0.5,0,0,0
19089,19089,0.0,0.75,0,1,1
26222,26222,0.0,0.75,0,1,1
12569,12569,0.0,1.0,0,0,0
26137,26137,0.0,0.25,0,0,0
22416,22416,0.5,0.75,1,0,0
24800,24800,0.5,0.5,0,0,0
17763,17763,0.0,0.0,1,1,0
21669,21669,0.0,1.0,1,1,1
13,13,0.0,0.75,0,0,0
2120,2120,1.0,0.25,0,1,0
19942,19942,0.0,0.0,0,1,0
25430,25430,1.0,0.75,1,1,1
9533,9533,0.0,0.25,0,0,0
13700,13700,0.0,0.75,0,0,1
17800,17800,1.0,1.0,1,1,0
3579,3579,0.0,0.0,1,1,1
17305,17305,1.0,0.0,1,1,0
18830,18830,1.0,1.0,1,0,0
20628,20628,1.0,0.5,1,1,0
13762,13762,0.5,0.75,0,1,0
8126,8126,1.0,1.0,1,1,1
14031,14031,1.0,1.0,0,1,0
16055,16055,0.5,1.0,1,0,1
1181,1181,1.0,0.25,0,0,0
6670,6670,0.5,0.0,1,0,1
5503,5503,0.5,0.75,1,0,0
7134,7134,0.5,0.25,1,0,1
22726,22726,1.0,0.75,1,1,1
7661,7661,0.5,1.0,0,1,0
25786,25786,1.0,0.5,0,0,0
827,827,0.0,0.75,0,0,1
29823,29823,0.5,0.5,0,0,1
5761,5761,1.0,0.25,0,0,0
23113,23113,1.0,0.75,1,0,0
14953,14953,1.0,0.75,1,1,0
20276,20276,0.0,1.0,0,1,1
13663,13663,0.5,0.5,1,1,0
24494,24494,0.0,0.75,1,1,0
9209,9209,0.0,0.5,1,1,0
13801,13801,0.0,0.25,0,0,1
23880,23880,1.0,0.0,0,0,1
21251,21251,1.0,1.0,1,1,0
29773,29773,0.0,0.0,0,0,1
16670,16670,1.0,1.0,0,0,1
23549,23549,0.5,0.0,1,0,1
3981,3981,0.0,0.0,0,0,0
29115,29115,1.0,0.5,0,0,1
19374,19374,1.0,1.0,0,1,0
26731,26731,0.5,0.25,0,1,0
457,457,0.0,0.75,0,0,1
14475,14475,0.5,0.0,1,0,0
10161,10161,0.5,1.0,0,0,0
22009,22009,0.5,0.5,1,0,0
21129,21129,0.0,0.75,0,1,1
12489,12489,1.0,1.0,0,1,0
27357,27357,0.5,0.5,0,0,1
6149,6149,0.5,0.75,0,1,1
10649,10649,0.5,0.0,1,1,1
18524,18524,0.5,0.25,0,0,1
14619,14619,0.5,1.0,1,0,1
20407,20407,0.5,1.0,1,1,0
1090,1090,1.0,0.5,1,0,1
7632,7632,0.0,1.0,0,1,0
23633,23633,0.5,1.0,1,0,0
5001,5001,1.0,0.75,1,0,1
19646,19646,0.0,1.0,0,0,1
610,610,0.5,0.5,1,0,0
24516,24516,0.0,0.25,0,0,1
25068,25068,1.0,0.0,0,1,1
10128,10128,0.5,0.5,0,0,1
3813,3813,0.0,1.0,0,1,1
3435,3435,0.0,0.25,1,0,1
21236,21236,1.0,0.5,0,1,0
13031,13031,0.5,1.0,0,1,0
18471,18471,1.0,0.0,0,1,1
24515,24515,1.0,0.75,0,0,1
25293,25293,0.0,0.75,0,0,0
4639,4639,0.0,0.25,1,1,1
12923,12923,0.0,0.25,0,1,1
16995,16995,1.0,0.0,0,0,0
15486,15486,0.5,0.75,0,0,1
18921,18921,0.0,0.75,0,1,0
7251,7251,0.5,0.75,0,0,0
10700,10700,1.0,1.0,1,1,1
10668,10668,0.0,0.0,0,0,0
4352,4352,1.0,0.0,1,0,1
12243,12243,0.0,0.5,1,1,0
21352,21352,1.0,0.5,0,0,1
27613,27613,1.0,0.25,0,0,1
17609,17609,0.0,0.0,1,0,1
3801,3801,0.5,0.0,1,1,1
